"","X","Y","Price","Category"
"225",571075.578127,3871147.28664,63.31,"Forest"
"226",571081.019222,3871198.12846,17.9,"Forest"
"227",571015.555098,3871275.86323,81.65,"Forest"
"228",571062.612228,3871236.91405,36.88,"Forest"
"229",571001.843154,3871037.045,37.08,"Forest"
"230",570963.2451,3871125.85329,27.26,"Field"
"231",570988.297986,3871075.50029,8.13,"Forest"
"232",570963.473371,3871057.88348,70.73,"Forest"
"233",571357.169402,3871582.51,2.3,"Forest"
"234",571466.289315,3871515.87081,2.29,"Forest"
"235",571536.663523,3871501.80589,1.91,"Forest"
"236",571626.844485,3871459.88449,0.27,"Forest"
"237",571622.470735,3871487.94123,9.1,"Forest"
"238",571601.939547,3871475.48333,12.09,"Rice_Field"
"239",571601.908515,3871459.88447,0.52,"Forest"
"240",571600.670851,3871464.6005,1.62,"Rice_Field"
"241",571610.592526,3871378.42708,0.75,"Forest"
"242",571662.075653,3871245.85475,1.29,"Forest"
"243",571361.345494,3871536.83361,0.25,"Forest"
"244",571563.001798,3871472.76802,30.04,"Rice_Field"
"245",571559.184365,3871450.32534,0.2,"Residential"
"246",571538.868235,3871462.56671,44.41,"Rice_Field"
"247",571510.131806,3871456.70719,50.65,"Rice_Field"
"248",571479.654519,3871462.27743,38.03,"Rice_Field"
"249",571454.949628,3871478.16157,36.96,"Rice_Field"
"250",571432.239615,3871485.29004,37.94,"Rice_Field"
"251",571412.249012,3871520.18161,3.99,"Rice_Field"
"252",571401.241559,3871516.9452,2.19,"Forest"
"253",571409.565582,3871494.33206,24.05,"Rice_Field"
"254",571462.994567,3871487.10044,0.31,"Forest"
"255",571493.976256,3871346.97768,70.36,"Residential"
"256",571537.053053,3871398.10621,3.49,"Forest"
"257",571516.519234,3871425.98057,26.21,"Rice_Field"
"258",571512.849431,3871401.9417,32.28,"Forest"
"259",571505.873106,3871384.87319,3.03,"Forest"
"260",571477.309159,3871399.61047,1.18,"Forest"
"261",571482.669577,3871421.90489,31.46,"Rice_Field"
"262",571458.710609,3871433.20694,46.74,"Rice_Field"
"263",571437.266837,3871438.90745,47.91,"Rice_Field"
